Employee_ID,Company,Department,Job_Level,Job_Role,Location,Gender,Age,Education,Employment_Type,Work_Mode,Years_at_Company,Years_in_Current_Role,Total_Work_Experience,Monthly_Salary_INR,Annual_Salary_INR,Annual_Bonus_INR,Job_Satisfaction,Work_Life_Balance,Performance_Rating,Overtime_Hours_Month,Training_Hours_Year,Projects_Count,Promotions_Last_5_Years,Manager_Rating,Distance_From_Home_KM,Salary_Growth_Potential,Attrition_Probability,Attrition
MNC10001,Capgemini,Product Management,L3,Data Scientist,Pune,Male,55,Master's,Full-Time,Remote,7,3,12,188272,2259264,345992,1,3,1,39,30,7,0,3,25.6,Low,0.3081,No
MNC10002,Accenture,Testing/QA,L5,Cloud Engineer,Hyderabad,Female,39,Bachelor's,Full-Time,Hybrid,6,0,6,256179,3074148,225461,1,4,3,5,88,10,3,3,23.7,High,0.0077,No
MNC10003,Cognizant,Testing/QA,L4,Cybersecurity Analyst,Mumbai,Male,50,Master's,Full-Time,Hybrid,0,3,14,222537,2670444,488195,3,3,4,37,45,3,0,5,32.5,Low,0.1079,No
MNC10004,Capgemini,Product Management,L2,IT Support Engineer,Hyderabad,Female,34,PhD,Full-Time,Hybrid,3,8,11,247508,2970096,572285,3,2,1,40,96,5,2,5,50.7,High,0.0798,No
MNC10005,Wipro,Software Engineering,L2,Technical Lead,Hyderabad,Female,40,Bachelor's,Full-Time,Hybrid,11,1,0,148422,1781064,531458,4,1,2,35,76,7,2,1,35.4,High,0.1028,No
MNC10006,Tech Mahindra,Cloud & DevOps,L1,Business Analyst,Bengaluru,Female,45,Master's,Contract,Hybrid,6,2,14,249631,2995572,144375,5,5,5,26,51,3,0,5,4.6,Low,0.0074,No
MNC10007,Cognizant,Data & AI,L5,Business Analyst,Hyderabad,Male,44,Bachelor's,Full-Time,Hybrid,15,7,3,69148,829776,333887,2,2,1,10,9,10,3,3,39.7,High,0.1525,No
MNC10008,Cognizant,Software Engineering,L3,Business Analyst,Kochi,Female,34,Bachelor's,Full-Time,Remote,10,5,12,181770,2181240,471068,5,1,4,4,87,2,0,5,1.5,Low,0.0023,No
MNC10009,Capgemini,Data & AI,L2,IT Support Engineer,Gurugram,Male,46,Bachelor's,Full-Time,Onsite,6,7,22,343804,4125648,35187,1,2,4,56,73,6,2,1,47.0,High,0.5744,Yes
MNC10010,Infosys,Product Management,L3,Software Developer,Kochi,Male,43,Bachelor's,Contract,Remote,14,6,24,327594,3931128,38090,3,4,2,16,40,8,2,4,40.3,High,0.0461,No
MNC10011,Wipro,IT Support,L3,DevOps Engineer,Bengaluru,Female,42,Master's,Full-Time,Hybrid,5,4,4,217535,2610420,469984,4,3,1,51,94,4,3,5,19.2,High,0.0231,No
MNC10012,Capgemini,Data & AI,L2,QA Engineer,Chennai,Male,39,Master's,Full-Time,Hybrid,7,8,1,325901,3910812,318174,5,2,3,6,76,9,0,3,18.3,Low,0.0064,No
MNC10013,Wipro,Cloud & DevOps,L1,Project Manager,Pune,Male,23,Master's,Full-Time,Onsite,10,3,22,108012,1296144,541797,4,1,1,26,2,8,2,4,48.1,High,0.3129,No
MNC10014,Wipro,IT Support,L3,Data Scientist,Kochi,Female,39,Bachelor's,Full-Time,Onsite,12,5,0,86116,1033392,68653,5,4,4,46,58,7,2,3,47.2,High,0.0973,No
MNC10015,Tech Mahindra,Data & AI,L3,Software Developer,Bengaluru,Male,29,Bachelor's,Full-Time,Hybrid,5,1,15,174233,2090796,391770,1,5,2,56,51,7,0,4,21.8,Low,0.2122,No
MNC10016,Cognizant,Product Management,L3,Technical Lead,Mumbai,Male,48,Master's,Full-Time,Hybrid,9,1,22,62152,745824,266186,2,4,2,14,33,3,0,3,18.6,Low,0.0409,No
MNC10017,Accenture,IT Support,L3,Data Scientist,Chennai,Male,40,Bachelor's,Contract,Hybrid,15,1,5,136379,1636548,193646,4,3,3,45,48,6,1,5,34.0,Medium,0.1146,No
MNC10018,Tech Mahindra,Product Management,L4,Business Analyst,Bengaluru,Female,27,Master's,Full-Time,Hybrid,2,6,22,256905,3082860,299345,4,4,2,12,27,5,3,5,1.5,High,0.0064,No
MNC10019,Tech Mahindra,Data & AI,L3,Cloud Engineer,Bengaluru,Female,34,Master's,Full-Time,Remote,3,1,15,50836,610032,538304,2,5,2,10,82,1,3,1,5.9,High,0.0048,No
MNC10020,Wipro,Product Management,L3,Technical Lead,Pune,Male,29,Master's,Full-Time,Hybrid,13,1,13,251439,3017268,287166,4,1,2,59,86,3,0,4,8.4,Low,0.0878,No
MNC10021,HCLTech,Cloud & DevOps,L4,Data Scientist,Gurugram,Male,39,Master's,Full-Time,Remote,2,8,2,216720,2600640,552226,4,2,2,44,95,1,3,1,11.9,High,0.0353,No
MNC10022,Cognizant,Data & AI,L2,Business Analyst,Kochi,Male,34,Bachelor's,Full-Time,Hybrid,0,6,14,187403,2248836,174750,5,3,2,25,12,4,2,2,31.2,High,0.0901,No
MNC10023,Infosys,Data & AI,L1,Data Scientist,Mumbai,Male,37,Master's,Full-Time,Hybrid,14,2,2,171835,2062020,260710,5,5,4,21,96,10,0,5,59.5,Low,0.011,No
MNC10024,Tech Mahindra,Data & AI,L1,Cloud Engineer,Noida,Female,50,Bachelor's,Full-Time,Hybrid,9,2,22,123109,1477308,232320,2,3,1,27,97,3,0,4,39.5,Low,0.0445,No
MNC10025,Accenture,Software Engineering,L3,Business Analyst,Kochi,Male,29,Master's,Full-Time,Hybrid,4,6,1,180259,2163108,367658,1,4,5,23,96,4,0,1,4.6,Low,0.0192,No
MNC10026,HCLTech,Software Engineering,L3,DevOps Engineer,Noida,Male,53,Bachelor's,Full-Time,Onsite,14,4,0,173029,2076348,76478,4,3,2,28,68,9,1,1,32.0,Medium,0.0497,No
MNC10027,HCLTech,Software Engineering,L3,Software Developer,Bengaluru,Female,45,Master's,Full-Time,Hybrid,0,5,8,112018,1344216,405377,1,5,5,8,66,3,3,2,30.3,High,0.0189,No
MNC10028,Infosys,Cloud & DevOps,L2,Cybersecurity Analyst,Hyderabad,Female,34,Master's,Full-Time,Hybrid,0,7,8,153076,1836912,127101,2,2,5,41,60,6,1,1,9.5,Medium,0.149,No
MNC10029,Tech Mahindra,IT Support,L1,Project Manager,Mumbai,Female,31,Bachelor's,Full-Time,Hybrid,1,8,22,188177,2258124,356843,2,2,4,3,59,6,2,3,55.3,High,0.0715,No
MNC10030,Accenture,Product Management,L1,IT Support Engineer,Chennai,Male,55,Bachelor's,Full-Time,Hybrid,12,0,6,209425,2513100,494527,5,3,2,48,70,7,3,5,27.0,High,0.0368,No
MNC10031,Cognizant,Testing/QA,L2,Project Manager,Hyderabad,Male,34,Master's,Full-Time,Hybrid,3,2,2,245657,2947884,361417,4,1,5,45,23,9,1,1,59.7,Medium,0.6636,Yes
MNC10032,TCS,Data & AI,L3,Technical Lead,Hyderabad,Male,50,Bachelor's,Full-Time,Onsite,5,6,17,32637,391644,588033,3,3,2,55,62,7,0,1,25.8,Low,0.2725,No
MNC10033,Accenture,Product Management,L2,Project Manager,Kochi,Male,24,Bachelor's,Full-Time,Hybrid,7,5,10,334169,4010028,132283,2,4,3,17,85,1,1,2,36.9,Medium,0.0291,No
MNC10034,Infosys,Data & AI,L2,Business Analyst,Mumbai,Female,24,Bachelor's,Full-Time,Hybrid,12,6,6,267989,3215868,393445,4,2,3,42,60,8,0,3,7.2,Low,0.0625,No
MNC10035,HCLTech,Cloud & DevOps,L4,DevOps Engineer,Gurugram,Female,48,Bachelor's,Full-Time,Hybrid,15,7,8,262259,3147108,381116,1,2,3,15,22,5,1,1,27.8,Medium,0.2258,Yes
MNC10036,Cognizant,Data & AI,L2,Cybersecurity Analyst,Bengaluru,Female,28,Master's,Full-Time,Onsite,2,5,0,112464,1349568,441758,5,2,5,32,29,9,1,5,15.1,Medium,0.0458,No
MNC10037,Accenture,Software Engineering,L2,Software Developer,Bengaluru,Female,22,Bachelor's,Full-Time,Hybrid,0,2,13,320886,3850632,101489,1,1,3,28,59,10,1,5,50.3,Medium,0.2397,No
MNC10038,TCS,Testing/QA,L3,Software Developer,Bengaluru,Male,42,Bachelor's,Full-Time,Hybrid,2,1,19,41831,501972,556107,2,1,4,38,17,5,0,1,47.3,Low,0.6965,No
MNC10039,TCS,Cybersecurity,L2,Cloud Engineer,Bengaluru,Female,36,Bachelor's,Full-Time,Hybrid,11,6,5,143768,1725216,47779,2,5,4,59,95,5,1,3,49.6,Medium,0.1848,Yes
MNC10040,Wipro,Data & AI,L3,IT Support Engineer,Kochi,Male,49,Bachelor's,Full-Time,Hybrid,2,0,6,276983,3323796,354388,1,3,5,9,55,2,3,5,43.7,High,0.0403,No
MNC10041,Wipro,Product Management,L4,Data Scientist,Noida,Male,50,Bachelor's,Full-Time,Hybrid,4,2,9,134824,1617888,589872,2,3,2,8,52,3,3,5,50.1,High,0.0364,No
MNC10042,Capgemini,Software Engineering,L5,DevOps Engineer,Bengaluru,Male,32,Bachelor's,Full-Time,Remote,10,3,6,118741,1424892,413166,4,4,1,58,6,10,3,3,12.8,High,0.2105,No
MNC10043,Infosys,Cybersecurity,L1,Data Scientist,Noida,Male,55,Bachelor's,Full-Time,Hybrid,11,0,1,48830,585960,248815,2,2,2,30,96,9,0,3,27.7,Low,0.0568,No
MNC10044,Tech Mahindra,Testing/QA,L4,Cybersecurity Analyst,Noida,Male,31,Bachelor's,Full-Time,Hybrid,11,4,3,347188,4166256,377218,5,1,2,27,68,7,0,1,41.8,Low,0.0918,No
MNC10045,Accenture,Cybersecurity,L2,Project Manager,Gurugram,Female,41,Master's,Full-Time,Hybrid,3,2,20,99202,1190424,361417,4,4,2,59,91,1,3,4,38.6,High,0.0648,No
MNC10046,Accenture,Software Engineering,L2,Software Developer,Bengaluru,Male,41,Bachelor's,Full-Time,Hybrid,12,1,16,329189,3950268,254957,3,4,2,56,71,3,3,2,43.3,High,0.1885,No
MNC10047,Tech Mahindra,IT Support,L2,Cybersecurity Analyst,Pune,Male,25,Master's,Full-Time,Hybrid,3,2,0,247394,2968728,595644,2,1,1,2,78,2,3,4,14.2,High,0.0087,No
MNC10048,Capgemini,IT Support,L5,Project Manager,Chennai,Male,40,Bachelor's,Full-Time,Hybrid,8,7,9,232123,2785476,145364,2,3,3,53,51,1,2,4,6.8,High,0.1288,Yes
MNC10049,HCLTech,Cybersecurity,L2,Software Developer,Hyderabad,Female,23,Bachelor's,Full-Time,Hybrid,6,5,18,187699,2252388,527340,5,2,2,54,3,9,3,5,55.1,High,0.4959,No
MNC10050,HCLTech,Cloud & DevOps,L2,Project Manager,Noida,Female,53,Master's,Full-Time,Hybrid,3,6,14,307342,3688104,306521,5,3,4,13,33,8,1,3,34.1,Medium,0.0306,No
MNC10051,Capgemini,Product Management,L3,IT Support Engineer,Mumbai,Female,29,Bachelor's,Full-Time,Onsite,2,5,9,136471,1637652,198910,1,4,5,57,68,5,2,5,10.1,High,0.1061,No
MNC10052,HCLTech,Product Management,L2,DevOps Engineer,Mumbai,Male,29,Master's,Full-Time,Hybrid,5,5,18,321619,3859428,329963,1,2,5,24,32,2,2,2,47.8,High,0.3573,No
MNC10053,Wipro,Cybersecurity,L1,Technical Lead,Chennai,Female,24,Master's,Full-Time,Hybrid,2,2,11,266824,3201888,146692,1,5,4,14,68,1,0,1,55.0,Low,0.0975,No
MNC10054,Accenture,Data & AI,L1,Cybersecurity Analyst,Mumbai,Male,55,Bachelor's,Full-Time,Onsite,5,7,23,49403,592836,30461,5,4,2,1,37,7,1,2,11.0,Medium,0.0065,No
